delineation,cbsa_code,bulletin,cbsa_title,cbsa_type,csa_code,csa_title,n_counties,n_metdivs,states,valid_from,valid_to
2015,23180,15-01,"Frankfort, KY",micropolitan,336,"Lexington-Fayette--Richmond--Frankfort, KY",2,0,21,2015-07-15,2017-08-15
2015,23240,15-01,"Fredericksburg, TX",micropolitan,,,1,0,48,2015-07-15,2017-08-15
2015,23300,15-01,"Freeport, IL",micropolitan,466,"Rockford-Freeport-Rochelle, IL",1,0,17,2015-07-15,2017-08-15
2015,23340,15-01,"Fremont, NE",micropolitan,420,"Omaha-Council Bluffs-Fremont, NE-IA",1,0,31,2015-07-15,2017-08-15
2015,23380,15-01,"Fremont, OH",micropolitan,,,1,0,39,2015-07-15,2017-08-15
2015,23420,15-01,"Fresno, CA",metropolitan,260,"Fresno-Madera, CA",1,0,06,2015-07-15,2017-08-15
2015,23460,15-01,"Gadsden, AL",metropolitan,,,1,0,01,2015-07-15,2017-08-15
2015,23500,15-01,"Gaffney, SC",micropolitan,273,"Greenville-Spartanburg-Anderson, SC",1,0,45,2015-07-15,2017-08-15
2015,23540,15-01,"Gainesville, FL",metropolitan,264,"Gainesville-Lake City, FL",2,0,12,2015-07-15,2017-08-15
2015,23580,15-01,"Gainesville, GA",metropolitan,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",1,0,13,2015-07-15,2017-08-15
2015,23620,15-01,"Gainesville, TX",micropolitan,206,"Dallas-Fort Worth, TX-OK",1,0,48,2015-07-15,2017-08-15
2015,23660,15-01,"Galesburg, IL",micropolitan,,,1,0,17,2015-07-15,2017-08-15
2015,23700,15-01,"Gallup, NM",micropolitan,,,1,0,35,2015-07-15,2017-08-15
2015,23780,15-01,"Garden City, KS",micropolitan,,,2,0,20,2015-07-15,2017-08-15
2015,23820,15-01,"Gardnerville Ranchos, NV",micropolitan,456,"Reno-Carson City-Fernley, NV",1,0,32,2015-07-15,2017-08-15
2015,23860,15-01,"Georgetown, SC",micropolitan,396,"Myrtle Beach-Conway, SC-NC",1,0,45,2015-07-15,2017-08-15
2015,23900,15-01,"Gettysburg, PA",metropolitan,276,"Harrisburg-York-Lebanon, PA",1,0,42,2015-07-15,2017-08-15
2015,23940,15-01,"Gillette, WY",micropolitan,,,1,0,56,2015-07-15,2017-08-15
2015,23980,15-01,"Glasgow, KY",micropolitan,150,"Bowling Green-Glasgow, KY",2,0,21,2015-07-15,2017-08-15
2015,24020,15-01,"Glens Falls, NY",metropolitan,104,"Albany-Schenectady, NY",2,0,36,2015-07-15,2017-08-15
2015,24060,15-01,"Glenwood Springs, CO",micropolitan,233,"Edwards-Glenwood Springs, CO",2,0,08,2015-07-15,2017-08-15
2015,24100,15-01,"Gloversville, NY",micropolitan,104,"Albany-Schenectady, NY",1,0,36,2015-07-15,2017-08-15
2015,24140,15-01,"Goldsboro, NC",metropolitan,,,1,0,37,2015-07-15,2017-08-15
2015,24220,15-01,"Grand Forks, ND-MN",metropolitan,,,2,0,"27,38",2015-07-15,2017-08-15
2015,24260,15-01,"Grand Island, NE",metropolitan,,,4,0,31,2015-07-15,2017-08-15
2015,24300,15-01,"Grand Junction, CO",metropolitan,,,1,0,08,2015-07-15,2017-08-15
2015,24330,15-01,"Grand Rapids, MN",micropolitan,,,1,0,27,2015-07-15,2017-08-15
2015,24340,15-01,"Grand Rapids-Wyoming, MI",metropolitan,266,"Grand Rapids-Wyoming-Muskegon, MI",4,0,26,2015-07-15,2017-08-15
2015,24380,15-01,"Grants, NM",micropolitan,106,"Albuquerque-Santa Fe-Las Vegas, NM",1,0,35,2015-07-15,2017-08-15
2015,24420,15-01,"Grants Pass, OR",metropolitan,366,"Medford-Grants Pass, OR",1,0,41,2015-07-15,2017-08-15
2015,24460,15-01,"Great Bend, KS",micropolitan,,,1,0,20,2015-07-15,2017-08-15
2015,24500,15-01,"Great Falls, MT",metropolitan,,,1,0,30,2015-07-15,2017-08-15
2015,24540,15-01,"Greeley, CO",metropolitan,216,"Denver-Aurora, CO",1,0,08,2015-07-15,2017-08-15
