code,level,title,parent_code
11-9032,detailed,"Education Administrators, Kindergarten through Secondary",11-9030
11-9033,detailed,"Education Administrators, Postsecondary",11-9030
11-9039,detailed,"Education Administrators, All Other",11-9030
11-9040,broad,Architectural and Engineering Managers,11-9000
11-9041,detailed,Architectural and Engineering Managers,11-9040
11-9050,broad,Food Service Managers,11-9000
11-9051,detailed,Food Service Managers,11-9050
11-9070,broad,Entertainment and Recreation Managers,11-9000
11-9071,detailed,Gambling Managers,11-9070
11-9072,detailed,"Entertainment and Recreation Managers, Except Gambling",11-9070
11-9080,broad,Lodging Managers,11-9000
11-9081,detailed,Lodging Managers,11-9080
11-9110,broad,Medical and Health Services Managers,11-9000
11-9111,detailed,Medical and Health Services Managers,11-9110
11-9120,broad,Natural Sciences Managers,11-9000
11-9121,detailed,Natural Sciences Managers,11-9120
11-9130,broad,Postmasters and Mail Superintendents,11-9000
11-9131,detailed,Postmasters and Mail Superintendents,11-9130
11-9140,broad,"Property, Real Estate, and Community Association Managers",11-9000
11-9141,detailed,"Property, Real Estate, and Community Association Managers",11-9140
11-9150,broad,Social and Community Service Managers,11-9000
11-9151,detailed,Social and Community Service Managers,11-9150
11-9160,broad,Emergency Management Directors,11-9000
11-9161,detailed,Emergency Management Directors,11-9160
11-9170,broad,Personal Service Managers,11-9000
11-9171,detailed,Funeral Home Managers,11-9170
11-9179,detailed,"Personal Service Managers, All Other",11-9170
11-9190,broad,Miscellaneous Managers,11-9000
11-9199,detailed,"Managers, All Other",11-9190
13-0000,major,Business and Financial Operations Occupations,
13-1000,minor,Business Operations Specialists,13-0000
13-1010,broad,"Agents and Business Managers of Artists, Performers, and Athletes",13-1000
13-1011,detailed,"Agents and Business Managers of Artists, Performers, and Athletes",13-1010
13-1020,broad,Buyers and Purchasing Agents,13-1000
13-1021,detailed,"Buyers and Purchasing Agents, Farm Products",13-1020
13-1022,detailed,"Wholesale and Retail Buyers, Except Farm Products",13-1020
13-1023,detailed,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",13-1020
13-1030,broad,"Claims Adjusters, Appraisers, Examiners, and Investigators",13-1000
13-1031,detailed,"Claims Adjusters, Examiners, and Investigators",13-1030
13-1032,detailed,"Insurance Appraisers, Auto Damage",13-1030
13-1040,broad,Compliance Officers,13-1000
13-1041,detailed,Compliance Officers,13-1040
13-1050,broad,Cost Estimators,13-1000
13-1051,detailed,Cost Estimators,13-1050
13-1070,broad,Human Resources Workers,13-1000
13-1071,detailed,Human Resources Specialists,13-1070
13-1074,detailed,Farm Labor Contractors,13-1070
13-1075,detailed,Labor Relations Specialists,13-1070
13-1080,broad,Logisticians and Project Management Specialists,13-1000
13-1081,detailed,Logisticians,13-1080
13-1082,detailed,Project Management Specialists,13-1080
13-1110,broad,Management Analysts,13-1000
13-1111,detailed,Management Analysts,13-1110
13-1120,broad,"Meeting, Convention, and Event Planners",13-1000
13-1121,detailed,"Meeting, Convention, and Event Planners",13-1120
13-1130,broad,Fundraisers,13-1000
13-1131,detailed,Fundraisers,13-1130
13-1140,broad,"Compensation, Benefits, and Job Analysis Specialists",13-1000
13-1141,detailed,"Compensation, Benefits, and Job Analysis Specialists",13-1140
13-1150,broad,Training and Development Specialists,13-1000
13-1151,detailed,Training and Development Specialists,13-1150
13-1160,broad,Market Research Analysts and Marketing Specialists,13-1000
13-1161,detailed,Market Research Analysts and Marketing Specialists,13-1160
13-1190,broad,Miscellaneous Business Operations Specialists,13-1000
13-1199,detailed,"Business Operations Specialists, All Other",13-1190
13-2000,minor,Financial Specialists,13-0000
13-2010,broad,Accountants and Auditors,13-2000
13-2011,detailed,Accountants and Auditors,13-2010
13-2020,broad,Property Appraisers and Assessors,13-2000
13-2022,detailed,Appraisers of Personal and Business Property,13-2020
13-2023,detailed,Appraisers and Assessors of Real Estate,13-2020
13-2030,broad,Budget Analysts,13-2000
13-2031,detailed,Budget Analysts,13-2030
13-2040,broad,Credit Analysts,13-2000
13-2041,detailed,Credit Analysts,13-2040
13-2050,broad,Financial Analysts and Advisors,13-2000
13-2051,detailed,Financial and Investment Analysts,13-2050
13-2052,detailed,Personal Financial Advisors,13-2050
13-2053,detailed,Insurance Underwriters,13-2050
13-2054,detailed,Financial Risk Specialists,13-2050
13-2060,broad,Financial Examiners,13-2000
13-2061,detailed,Financial Examiners,13-2060
13-2070,broad,Credit Counselors and Loan Officers,13-2000
13-2071,detailed,Credit Counselors,13-2070
13-2072,detailed,Loan Officers,13-2070
13-2080,broad,"Tax Examiners, Collectors and Preparers, and Revenue Agents",13-2000
13-2081,detailed,"Tax Examiners and Collectors, and Revenue Agents",13-2080
13-2082,detailed,Tax Preparers,13-2080
13-2090,broad,Miscellaneous Financial Specialists,13-2000
13-2099,detailed,"Financial Specialists, All Other",13-2090
15-0000,major,Computer and Mathematical Occupations,
15-1200,minor,Computer Occupations,15-0000
15-1210,broad,Computer and Information Analysts,15-1200
15-1211,detailed,Computer Systems Analysts,15-1210
15-1212,detailed,Information Security Analysts,15-1210
15-1220,broad,Computer and Information Research Scientists,15-1200
15-1221,detailed,Computer and Information Research Scientists,15-1220
15-1230,broad,Computer Support Specialists,15-1200
15-1231,detailed,Computer Network Support Specialists,15-1230
15-1232,detailed,Computer User Support Specialists,15-1230
15-1240,broad,Database and Network Administrators and Architects,15-1200
15-1241,detailed,Computer Network Architects,15-1240
15-1242,detailed,Database Administrators,15-1240
15-1243,detailed,Database Architects,15-1240
15-1244,detailed,Network and Computer Systems Administrators,15-1240
15-1250,broad,"Software and Web Developers, Programmers, and Testers",15-1200
15-1251,detailed,Computer Programmers,15-1250
15-1252,detailed,Software Developers,15-1250
15-1253,detailed,Software Quality Assurance Analysts and Testers,15-1250
15-1254,detailed,Web Developers,15-1250
15-1255,detailed,Web and Digital Interface Designers,15-1250
15-1290,broad,Miscellaneous Computer Occupations,15-1200
15-1299,detailed,"Computer Occupations, All Other",15-1290
15-2000,minor,Mathematical Science Occupations,15-0000
15-2010,broad,Actuaries,15-2000
15-2011,detailed,Actuaries,15-2010
15-2020,broad,Mathematicians,15-2000
